,Iterations,Returns1,Rnd_Returns1,Returns2,Rnd_Returns2,Returns3,Rnd_Returns3
0,0,0.2,0.0,0.0,0.0,0.0,0.3
1,1000,0.4,0.0,0.0,0.6,1.0,0.8
2,2000,0.2,0.1,0.7,0.0,1.6,0.0
3,3000,0.8,0.0,0.7,0.6,2.2,0.0
4,4000,2.7,0.0,0.7,0.2,0.8,0.0
5,5000,3.6,0.1,0.7,1.6,0.8,0.3
6,6000,2.2,0.0,0.7,0.0,3.4,0.6
7,7000,3.2,0.6,1.1,0.0,3.8,1.5
8,8000,2.1,0.9,1.4,0.9,4.0,0.1
9,9000,3.8,0.1,1.1,0.7,4.0,0.0
10,10000,4.0,0.7,1.3,0.0,4.0,0.8
11,11000,4.0,0.0,2.8,0.5,4.0,0.0
12,12000,3.8,0.0,3.4,0.1,4.0,0.0
13,13000,3.9,0.0,3.4,0.1,4.0,0.3
14,14000,3.9,0.0,3.5,0.0,4.0,0.8
15,15000,4.0,0.1,3.5,0.7,4.0,0.7
16,16000,3.6,0.0,3.5,1.1,4.0,0.7
17,17000,4.0,0.3,3.5,0.0,3.9,0.5
18,18000,3.7,0.6,4.0,0.1,3.9,0.4
19,19000,3.5,0.4,4.0,0.5,3.9,0.7
20,20000,3.7,0.0,4.0,0.1,3.9,0.2
