,Steps,Cov_b,Cov_Rnd_b,Cov_g,Cov_Rnd_g,Cov_i,Cov_Rnd_i,Cov_j,Cov_Rnd_j,Cov_m,Cov_Rnd_m,Cov_o,Cov_Rnd_o,Cov_t,Cov_Rnd_t,Cov_v,Cov_Rnd_v,Cov_x,Cov_Rnd_x,Cov_y,Cov_Rnd_y
0,0,2706000118552105.0,2706000118552105.0,2706026440626747.5,2706026440626747.5,2706048570525942.5,2706048570525942.5,2706086053508565.0,2706086053508565.0,2706012933638766.5,2706012933638766.5,2705956126176147.0,2705956126176147.0,2706013401044432.0,2706013401044432.0,2705985914590910.0,2705985914590910.0,2706042266979957.0,2706042266979957.0,2706056711688266.0,2706056711688266.0
1,1,1.0807048048289642e+16,1.0807048048289642e+16,1.0805228405566784e+16,1.0805228405566784e+16,1.0807451347449156e+16,1.0807451347449156e+16,1.0806127052998674e+16,1.0806127052998674e+16,832972660.8612618,1.080525388598371e+16,832693924.4177661,1.0805095758082718e+16,1.0806853102348736e+16,1.0806853102348736e+16,1.0806880498003132e+16,1.0806880498003132e+16,1.0807804793397296e+16,1.0807804793397296e+16,1.0805313956330576e+16,1.0805313956330576e+16
2,2,2.4309409338510144e+16,2.4309409338510144e+16,2.4307547387949864e+16,2.4307547387949864e+16,2.430962569738936e+16,2.430962569738936e+16,2.4306570188506616e+16,2.4306570188506616e+16,39830.29110455151,2.4297617274545464e+16,5669.462212883174,2.4307685319447564e+16,2.4297750078786652e+16,2.4297750078786652e+16,2.4312985353372956e+16,2.4312985353372956e+16,2.4298871087940212e+16,2.4298871087940212e+16,370496872.8253733,2.430304312965888e+16
3,3,4.321200606054002e+16,4.321200606054002e+16,4.320407665814924e+16,4.320407665814924e+16,4.323535647245433e+16,4.323535647245433e+16,4.3208108101918904e+16,208558403.77344888,29181.353789226083,4.32010544026415e+16,3800.7671952410683,4.319429554608136e+16,4.319627944182452e+16,4.319627944182452e+16,4.3226779825165976e+16,4.3226779825165976e+16,4.32030438998985e+16,4.32030438998985e+16,41969.11228185405,4.321396082554556e+16
4,4,6.7517274830810024e+16,6.7517274830810024e+16,6.751588976335543e+16,133303051.30189165,6.755473368974344e+16,6.755473368974344e+16,6.752927963994496e+16,35618.062874168085,21413.69570903734,6.74864809670163e+16,11313.398227686104,6.752103135387744e+16,6.750631571024483e+16,6.750631571024483e+16,6.754397475447729e+16,6.754397475447729e+16,6.749751580949341e+16,6.749751580949341e+16,30878.10005391178,6.7494306570492744e+16
5,5,9.723495367637165e+16,9.723495367637165e+16,9.71879765910299e+16,4279.977855803343,9.727992598551283e+16,9.727992598551283e+16,9.72562662811901e+16,32287.069690833483,15919.679187392767,9.724332644983402e+16,24485.61723972083,9.721954051967178e+16,9.71909258555712e+16,9.71909258555712e+16,9.727337369628296e+16,9.727337369628296e+16,9.724337138240091e+16,9.724337138240091e+16,22752.678353437583,9.72269326399646e+16
6,6,1.3237742236103363e+17,1.3237742236103363e+17,1.3234015954082432e+17,4642.242372177513,1.3242194269175866e+17,1.3242194269175866e+17,1.3240184679122608e+17,29185.421325838306,29776.163146494346,1.3233217218381461e+17,43318.43677847894,1.3237884109342528e+17,1.3229058414057811e+17,1.3229058414057811e+17,1.324050432605047e+17,1.324050432605047e+17,1.323331591642174e+17,1.323331591642174e+17,49764.968892999015,1.3227804862662891e+17
7,7,1.729265110056968e+17,1.729265110056968e+17,1.7295591743830787e+17,4891.81940056286,1.7297913374430224e+17,1.7297913374430224e+17,1.72955210786429e+17,60129.01983922581,12270.431134097538,1.7294690150008822e+17,67819.47116358022,1.7285844058000163e+17,1.7283050302350416e+17,1.7283050302350416e+17,1.7298364458984685e+17,1.7298364458984685e+17,1.7277956509182208e+17,1.7277956509182208e+17,17276.98450373639,1.7288628166827965e+17
8,8,2.189145685205636e+17,2.189145685205636e+17,2.1891870173403082e+17,9635.578299132121,2.1911815333015843e+17,2.1911815333015843e+17,2.1897567585729862e+17,105443.53252158748,8256.48957158035,2.1881155398022176e+17,98006.88786112379,2.189311696302113e+17,2.1865407677106902e+17,2.1865407677106902e+17,2.1898129096711146e+17,2.1898129096711146e+17,41244833.806227855,2.187522097107344e+17,11347.53784156282,2.1893423327746032e+17
9,9,2.7054903024564032e+17,2.7054903024564032e+17,2.7037589622581366e+17,16304.527661447803,2.7057376785164397e+17,2.7057376785164397e+17,2.7043311294547328e+17,165097.94648856358,6205.44658137801,2.7028872479156186e+17,134013.2168064223,2.7018134033380176e+17,2.7007608941758243e+17,2.7007608941758243e+17,2.7044337368957677e+17,2.7044337368957677e+17,40518.439580656806,2.701910454241573e+17,8373.17600965713,2.702322660893678e+17
10,10,3.274743688940425e+17,3.274743688940425e+17,3.2742867397138176e+17,24885.970246308752,3.2770123655690963e+17,3.2770123655690963e+17,3.274364321576455e+17,239070.8000704806,8666.983771046702,3.272876527730904e+17,175981.49209450925,3.27347701256257e+17,3.270085866930114e+17,3.270085866930114e+17,3.273998025301283e+17,3.273998025301283e+17,30005.562940135085,3.27262629385615e+17,6522.256099853721,3.271647168401853e+17
11,11,3.89961445287285e+17,3.89961445287285e+17,3.9012904367623386e+17,12518.400095354978,3.902699770997381e+17,3.902699770997381e+17,3.900057885972731e+17,327596.1866438248,11836.813502050967,3.896581871356597e+17,223643.13274313163,23229475.080640502,23253037.510229927,3.8968123299681094e+17,3.899663046563365e+17,3.899663046563365e+17,22280.250549900033,3.895265721179544e+17,9141.651895322653,3.8952701902146074e+17
12,12,4.583544683989012e+17,4.583544683989012e+17,4.581538082096911e+17,16810.33308653337,4.586989716688296e+17,4.586989716688296e+17,4.584483713430942e+17,430418.48161370796,15737.954159334482,19823775.50036937,277295.6061775745,20915083690.29928,40414.086076901374,4.575232992483838e+17,4.581788188615757e+17,4.581788188615757e+17,16827.40167366393,4.5776872315346304e+17,12526.903708281814,19835540.901804954
13,13,5.325110026593665e+17,5.325110026593665e+17,5.316828992658546e+17,21784.216763200246,5.325565458959441e+17,5.325565458959441e+17,5.3264262812211334e+17,547962.192628159,6280.214254532943,13505.848200564751,336988.69550466444,83619866897.30002,206619.68306356558,5.312851187857936e+17,5.3204336029985043e+17,5.3204336029985043e+17,31154.87440195003,5.3162723143208685e+17,6245.294857279579,14527.28956114161
14,14,6.12179696250958e+17,6.12179696250958e+17,6.11926614985946e+17,27442.603545268168,6.122155856887252e+17,6.122155856887252e+17,6.124188611804038e+17,680051.8826480113,4663.373717705519,11589.01190021841,402526.93090667046,188056870268.79572,544051.3538026052,6.109109132064152e+17,6.116768860251636e+17,6.116768860251636e+17,51927.386273580414,6.10858393812777e+17,4738.033765616015,11988.675881578656
15,15,6.978084510128961e+17,6.978084510128961e+17,6.979336195955318e+17,18167.8986754567,6.978784488829816e+17,6.978784488829816e+17,6.981477129445862e+17,826708.4657963981,3994.017945080239,31789.551930397556,475169.83529424923,33763.97127950878,1054133.6160462876,6.964778222130015e+17,6.97900725427632e+17,6.97900725427632e+17,13577.904611332966,6.965108881781382e+17,4046.2968022863324,33167.5934338567
16,16,7.901876265243022e+17,7.901876265243022e+17,7.91040857767824e+17,21937.377854473893,7.897299881964846e+17,7.897299881964846e+17,7.907153701412465e+17,988166.399708732,3669.1109065723917,65187.87942854436,554010.228337653,22580.427232433765,24550.205750375022,7.889923607502788e+17,7.899018823118561e+17,7.899018823118561e+17,9004.073021543716,7.884779167334327e+17,3688.3570727251345,68501.14323353823
17,17,8.892100972355972e+17,8.892100972355972e+17,8.898385962649101e+17,26083.17661165928,8.881484592084635e+17,8.881484592084635e+17,8.898677420542939e+17,1164423.7499501775,3521.889819137147,111815.96757368014,638902.560110108,33789.082518689334,13931.216160164735,8.883835568550828e+17,8.884861103529357e+17,8.884861103529357e+17,6964.327239050726,8.870356755850175e+17,3506.2725267850337,118024.67664534898
18,18,9.953009815401814e+17,9.953009815401814e+17,9.965671107571164e+17,30611.89909219601,9.941866492033741e+17,9.941866492033741e+17,9.961737779840549e+17,1355040.3179779279,4228.550791407931,171572.99340229406,731544.1164154216,48227.359117967615,9917.004379234832,9.942905237436352e+17,9515823.714521915,9.947674261831293e+17,5792.664013892061,9.934343177904411e+17,3433.338337688026,181643.7578362054
