,Iterations,Cov_b,Cov_rnd_b,Cov_g,Cov_rnd_g,Cov_i,Cov_rnd_i,Cov_j,Cov_rnd_j,Cov_m,Cov_rnd_m,Cov_o,Cov_rnd_o,Cov_t,Cov_rnd_t,Cov_v,Cov_rnd_v,Cov_x,Cov_rnd_x,Cov_y,Cov_rnd_y
0,0,120000000000.0,120000000000.0,420000000000.0,420000000000.0,540000000000.0,540000000000.0,600000000000.0,600000000000.0,780000000000.0,780000000000.0,900000000000.0,900000000000.0,1200000000000.0,1200000000000.0,1320000000000.0,1320000000000.0,1440000000000.0,1440000000000.0,1500000000000.0,1500000000000.0
1,1000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,97353432778320.38,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,16369306160516.09,8640200.426056,1.108149453753261e+18,1.108149453753261e+18,189576938032.29492,8526143766.668369,871929.2262900113,8549298265.714013,1.107728605013376e+18,8533299655.968318,16405089971045.627,8539107665.891914
2,2000,8669760.771654468,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,69668.45794575321,1.1082409903631058e+18,830548.2881486374,1.108149453753261e+18,113019.36757112145,1.1085356870563099e+18,149351.71248023826,1.1089714620974033e+18,115067.68794205623,1.107728605013376e+18,61437.75204711234,1.1074631280393562e+18
3,3000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,439040.4896965348,8640200.426056,830548.2881486374,1.108149453753261e+18,1.1085356870563099e+18,1.1085356870563099e+18,1.1089714620974033e+18,1.1089714620974033e+18,1.107728605013376e+18,1.107728605013376e+18,846371.134711683,1.1074631280393562e+18
4,4000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,8561.438130060205,1.1082409903631058e+18,59875.629250307,1.108149453753261e+18,12723.71811339737,1.1085356870563099e+18,20474.09793508998,1.1089714620974033e+18,8117.12440804676,1.107728605013376e+18,11240.386699188219,1.1074631280393562e+18
5,5000,8669760.771654468,1.1091252306956751e+18,6760127178875.79,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,9090.709899535641,1335768739366.7874,37014.5142056057,1.108149453753261e+18,17253.096751977922,189043.97388712823,35221.65494330685,149351.71248023826,12807.720969405244,2282369.52127116,6757.20385498714,1.1074631280393562e+18
6,6000,1.1091252306956751e+18,1.1091252306956751e+18,2012030355038.5059,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,7443.976845024977,1.1082409903631058e+18,47618.16639454034,85771.03890033747,12723.71811339737,1.1085356870563099e+18,20474.09793508998,1.1089714620974033e+18,10692.50147781094,1.107728605013376e+18,8959.891260108527,1.1074631280393562e+18
7,7000,1.1091252306956751e+18,1.1091252306956751e+18,554518360681.1055,298480.3016350735,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,6535.966594144354,1.1082409903631058e+18,48025.562045230145,1.108149453753261e+18,14092.007245105451,1.1085356870563099e+18,24560.410065639742,1.1089714620974033e+18,10558.91075151406,1.107728605013376e+18,5127.861380021444,1.1074631280393562e+18
8,8000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,213156.07174844394,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,10386500215128.363,4222.152577775815,336003502898.94824,52733.469286024665,16357516066561.078,14151.307606097222,1.1085356870563099e+18,40648.19946228851,1.1089714620974033e+18,8517.491014200885,1.107728605013376e+18,4426.023479386275,335885235556.355
9,9000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,5157.506994158354,8640200.426056,830548.2881486374,574682.0534238771,7797.550122014847,1.1085356870563099e+18,14674.47468768141,1.1089714620974033e+18,5000.636409933673,1.107728605013376e+18,4224.400378203727,1.1074631280393562e+18
